"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18899","Acessar Documentos -> Acessar tela de Acessar Documentos","","Fri Aug 01 15:27:06 BRT 2025","passed","Fri Aug 01 15:27:25 BRT 2025","","Funcionalidades -> Documentos -> Acessar Documentos","",""
"","71849","Acessar Documentos -> Excluir Documento","","Fri Aug 01 15:30:57 BRT 2025","failed","Fri Aug 01 15:32:08 BRT 2025","","Funcionalidades -> Documentos -> Acessar Documentos","",""
"","71283","Acessar Documentos -> Baixar Documento","","Fri Aug 01 15:29:44 BRT 2025","failed","Fri Aug 01 15:30:56 BRT 2025","","Funcionalidades -> Documentos -> Acessar Documentos","",""
"","69685","Acessar Documentos -> Editar Documento","","Fri Aug 01 15:28:34 BRT 2025","failed","Fri Aug 01 15:29:44 BRT 2025","","Funcionalidades -> Documentos -> Acessar Documentos","",""
"","68471","Acessar Documentos -> Adicionar Documento","","Fri Aug 01 15:27:25 BRT 2025","failed","Fri Aug 01 15:28:34 BRT 2025","","Funcionalidades -> Documentos -> Acessar Documentos","",""
