"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","68810","Acessar Documentos -> Baixar Documento","","Wed Aug 06 02:35:19 BRT 2025","failed","Wed Aug 06 02:36:28 BRT 2025","","Funcionalidades -> Documentos -> Acessar Documentos","",""
"","73426","Acessar Documentos -> Excluir Documento","","Wed Aug 06 02:36:29 BRT 2025","failed","Wed Aug 06 02:37:43 BRT 2025","","Funcionalidades -> Documentos -> Acessar Documentos","",""
"","81805","Acessar Documentos -> Adicionar Documento","","Wed Aug 06 02:32:46 BRT 2025","failed","Wed Aug 06 02:34:08 BRT 2025","","Funcionalidades -> Documentos -> Acessar Documentos","",""
"","69965","Acessar Documentos -> Editar Documento","","Wed Aug 06 02:34:09 BRT 2025","failed","Wed Aug 06 02:35:19 BRT 2025","","Funcionalidades -> Documentos -> Acessar Documentos","",""
"","43298","Acessar Documentos -> Acessar tela de Acessar Documentos","","Wed Aug 06 02:32:02 BRT 2025","passed","Wed Aug 06 02:32:46 BRT 2025","","Funcionalidades -> Documentos -> Acessar Documentos","",""
