"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22236","Acessar Documentos -> Acessar tela de Acessar Documentos","","Thu Aug 07 02:25:54 BRT 2025","passed","Thu Aug 07 02:26:16 BRT 2025","","Funcionalidades -> Documentos -> Acessar Documentos","",""
"","71303","Acessar Documentos -> Baixar Documento","","Thu Aug 07 02:28:39 BRT 2025","failed","Thu Aug 07 02:29:50 BRT 2025","","Funcionalidades -> Documentos -> Acessar Documentos","",""
"","73586","Acessar Documentos -> Adicionar Documento","","Thu Aug 07 02:26:16 BRT 2025","failed","Thu Aug 07 02:27:30 BRT 2025","","Funcionalidades -> Documentos -> Acessar Documentos","",""
"","68019","Acessar Documentos -> Editar Documento","","Thu Aug 07 02:27:30 BRT 2025","failed","Thu Aug 07 02:28:38 BRT 2025","","Funcionalidades -> Documentos -> Acessar Documentos","",""
"","73276","Acessar Documentos -> Excluir Documento","","Thu Aug 07 02:29:52 BRT 2025","failed","Thu Aug 07 02:31:05 BRT 2025","","Funcionalidades -> Documentos -> Acessar Documentos","",""
