"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","68488","Acessar Documentos -> Adicionar Documento","","Mon Aug 04 15:45:22 BRT 2025","failed","Mon Aug 04 15:46:30 BRT 2025","","Funcionalidades -> Documentos -> Acessar Documentos","",""
"","66515","Acessar Documentos -> Editar Documento","","Mon Aug 04 15:46:31 BRT 2025","failed","Mon Aug 04 15:47:37 BRT 2025","","Funcionalidades -> Documentos -> Acessar Documentos","",""
"","68532","Acessar Documentos -> Baixar Documento","","Mon Aug 04 15:47:38 BRT 2025","failed","Mon Aug 04 15:48:47 BRT 2025","","Funcionalidades -> Documentos -> Acessar Documentos","",""
"","19359","Acessar Documentos -> Acessar tela de Acessar Documentos","","Mon Aug 04 15:45:02 BRT 2025","passed","Mon Aug 04 15:45:21 BRT 2025","","Funcionalidades -> Documentos -> Acessar Documentos","",""
"","67951","Acessar Documentos -> Excluir Documento","","Mon Aug 04 15:48:47 BRT 2025","failed","Mon Aug 04 15:49:55 BRT 2025","","Funcionalidades -> Documentos -> Acessar Documentos","",""
