"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","68651","Acessar Documentos -> Baixar Documento","","Fri Aug 01 13:54:22 BRT 2025","failed","Fri Aug 01 13:55:30 BRT 2025","","Funcionalidades -> Documentos -> Acessar Documentos","",""
"","73213","Acessar Documentos -> Excluir Documento","","Fri Aug 01 13:55:32 BRT 2025","failed","Fri Aug 01 13:56:45 BRT 2025","","Funcionalidades -> Documentos -> Acessar Documentos","",""
"","16984","Acessar Documentos -> Acessar tela de Acessar Documentos","","Fri Aug 01 13:51:41 BRT 2025","passed","Fri Aug 01 13:51:58 BRT 2025","","Funcionalidades -> Documentos -> Acessar Documentos","",""
"","70104","Acessar Documentos -> Editar Documento","","Fri Aug 01 13:53:11 BRT 2025","failed","Fri Aug 01 13:54:21 BRT 2025","","Funcionalidades -> Documentos -> Acessar Documentos","",""
"","71597","Acessar Documentos -> Adicionar Documento","","Fri Aug 01 13:51:58 BRT 2025","failed","Fri Aug 01 13:53:10 BRT 2025","","Funcionalidades -> Documentos -> Acessar Documentos","",""
