"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","66977","Acessar Documentos -> Baixar Documento","","Fri Aug 01 11:28:57 BRT 2025","failed","Fri Aug 01 11:30:04 BRT 2025","","Funcionalidades -> Documentos -> Acessar Documentos","",""
"","18219","Acessar Documentos -> Acessar tela de Acessar Documentos","","Fri Aug 01 11:26:22 BRT 2025","passed","Fri Aug 01 11:26:41 BRT 2025","","Funcionalidades -> Documentos -> Acessar Documentos","",""
"","67978","Acessar Documentos -> Adicionar Documento","","Fri Aug 01 11:26:41 BRT 2025","failed","Fri Aug 01 11:27:49 BRT 2025","","Funcionalidades -> Documentos -> Acessar Documentos","",""
"","67483","Acessar Documentos -> Editar Documento","","Fri Aug 01 11:27:50 BRT 2025","failed","Fri Aug 01 11:28:57 BRT 2025","","Funcionalidades -> Documentos -> Acessar Documentos","",""
"","77469","Acessar Documentos -> Excluir Documento","","Fri Aug 01 11:30:05 BRT 2025","failed","Fri Aug 01 11:31:23 BRT 2025","","Funcionalidades -> Documentos -> Acessar Documentos","",""
