"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","77085","Acessar Documentos -> Excluir Documento","","Fri Aug 01 14:12:06 BRT 2025","failed","Fri Aug 01 14:13:23 BRT 2025","","Funcionalidades -> Documentos -> Acessar Documentos","",""
"","72217","Acessar Documentos -> Editar Documento","","Fri Aug 01 14:09:37 BRT 2025","failed","Fri Aug 01 14:10:49 BRT 2025","","Funcionalidades -> Documentos -> Acessar Documentos","",""
"","74050","Acessar Documentos -> Adicionar Documento","","Fri Aug 01 14:08:22 BRT 2025","failed","Fri Aug 01 14:09:36 BRT 2025","","Funcionalidades -> Documentos -> Acessar Documentos","",""
"","15331","Acessar Documentos -> Acessar tela de Acessar Documentos","","Fri Aug 01 14:08:06 BRT 2025","passed","Fri Aug 01 14:08:21 BRT 2025","","Funcionalidades -> Documentos -> Acessar Documentos","",""
"","73608","Acessar Documentos -> Baixar Documento","","Fri Aug 01 14:10:50 BRT 2025","failed","Fri Aug 01 14:12:04 BRT 2025","","Funcionalidades -> Documentos -> Acessar Documentos","",""
